Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0.10566743400391612,2025-12-15 08:00:00+00:00,89814.89500499998,9.490509490507975,2025-12-15 14:00:00+00:00,88005.984995,9.299366611408797,-209.9327552026133,-0.022120282942927987,Long,Closed,0
1,0,0.10579273724202146,2025-12-16 18:00:00+00:00,87825.24067500001,9.291272609945736,2025-12-17 05:00:00+00:00,86583.076805,9.159860694037128,-149.86304921442584,-0.01612944270454158,Long,Closed,1
2,0,0.10197252331046426,2025-12-17 14:00:00+00:00,89720.687925,9.149044940861131,2025-12-17 18:00:00+00:00,85786.30539000001,8.747846026100381,-419.0958057295315,-0.045807601606337914,Long,Closed,2
3,0,0.1001457856687396,2025-12-18 10:00:00+00:00,87385.620975,8.751301668691667,2025-12-18 19:00:00+00:00,84441.548105,8.456465178059894,-312.0442574789228,-0.0356568964586453,Long,Closed,3
4,0,0.09608417985925932,2025-12-19 07:00:00+00:00,87997.3767,8.45515576998514,2025-12-22 21:00:00+00:00,88230.92247,8.477595823755847,5.507302176310249,0.0006513543128158716,Long,Closed,4
5,0,0.09608195271801365,2025-12-24 22:00:00+00:00,88053.81490499999,8.46038248034165,2025-12-26 00:00:00+00:00,87076.44,8.366474390932952,-110.7349462812571,-0.013088645405635202,Long,Closed,5
6,0,0.09362236271072245,2025-12-26 02:00:00+00:00,89244.589995,8.35528937447998,2025-12-26 16:00:00+00:00,86812.39209000001,8.127581260035434,-244.19098508068444,-0.029225915960072308,Long,Closed,6
7,0,0.09241914114316264,2025-12-28 00:00:00+00:00,87898.88748,8.123539688340315,2025-12-28 20:00:00+00:00,87471.00262,8.08399493707173,-55.75228589477472,-0.006863053303572878,Long,Closed,7
8,0,0.09171513454429436,2025-12-28 23:00:00+00:00,87996.686355,8.070627928499562,2025-12-29 13:00:00+00:00,87344.01614500002,8.010768192377695,-75.94113224407866,-0.009409569232636472,Long,Closed,8
9,0,0.0908229621934073,2025-12-30 12:00:00+00:00,88067.55176999999,7.998555924871653,2025-12-31 17:00:00+00:00,87577.00959000002,7.9540034310042405,-60.50505322428522,-0.007564497115802633,Long,Closed,9
10,0,0.0898719565150341,2026-01-01 17:00:00+00:00,88360.52818499999,7.941133546686615,2026-01-06 17:00:00+00:00,91543.44538,8.227188542427761,269.88667365088185,0.03398591297629684,Long,Closed,10
11,0,0.08997931018056435,2026-01-09 01:00:00+00:00,91101.718095,8.197269750451596,2026-01-09 07:00:00+00:00,90696.46908,8.160805723631283,-52.82210229513615,-0.006443865323844119,Long,Closed,11
12,0,0.08907097705298854,2026-01-09 17:00:00+00:00,91467.941115,8.147138884137348,2026-01-09 19:00:00+00:00,90286.983925,8.04194987336722,-121.37809952855604,-0.014898248483877942,Long,Closed,12
13,0,0.08842747670803339,2026-01-11 04:00:00+00:00,90830.87273999999,8.03194488358622,2026-01-12 12:00:00+00:00,90743.975315,8.02426076356152,-23.74032567232245,-0.00295573812026971,Long,Closed,13
14,0,0.08733334859845045,2026-01-12 15:00:00+00:00,91710.83249999999,8.009414104975804,2026-01-15 20:00:00+00:00,95213.039665,8.315273584181536,289.5347915157807,0.03614930976485285,Long,Closed,14
15,0,0.08681035230369731,2026-01-18 19:00:00+00:00,95428.680495,8.284197373646748,2026-01-18 23:00:00+00:00,93626.30343,8.127732385651164,-172.87691775605165,-0.020868276063288182,Long,Closed,15
16,0,0.09024042410869149,2026-01-22 02:00:00+00:00,89983.26915,8.120128370781458,2026-01-22 14:00:00+00:00,89044.045705,8.03537244877291,-100.91142282917983,-0.01242731866065992,Long,Closed,16
17,0,0.08918952167710457,2026-01-23 03:00:00+00:00,89969.74239,8.024358289175325,2026-01-23 07:00:00+00:00,89504.675275,7.982879175641819,-57.486350999417546,-0.00716398108456317,Long,Closed,17
18,0,0.08792293492550576,2026-01-23 17:00:00+00:00,90645.29999999999,7.9698008132018,2026-01-24 12:00:00+00:00,89493.05109000001,7.868491707271033,-117.14739845238594,-0.014698911704081361,Long,Closed,18
19,0,0.08911610761349759,2026-01-26 22:00:00+00:00,88184.080005,7.858621963521728,2026-01-27 13:00:00+00:00,87938.158925,7.836706434093153,-37.61085782732281,-0.004785935498857185,Long,Closed,19
20,0,0.0882095082648711,2026-01-27 16:00:00+00:00,88685.76071999999,7.8229273432061746,2026-01-27 17:00:00+00:00,87502.80671,7.718579551685164,-119.88929841694781,-0.015325375419861174,Long,Closed,20
21,0,0.08715530873171963,2026-01-27 19:00:00+00:00,88452.974385,7.709146290762874,2026-01-29 02:00:00+00:00,87863.10647,7.657736170520803,-66.77700270404374,-0.008662048972147566,Long,Closed,21
22,0,0.09718285574602964,2026-02-02 16:00:00+00:00,78674.07737999999,7.645771512971805,2026-02-03 14:00:00+00:00,77162.61939,7.4988837091641605,-162.0324590304881,-0.021192427573276166,Long,Closed,22
23,0,0.10704533348107101,2026-02-06 16:00:00+00:00,69988.98700499999,7.49199445395152,2026-02-09 10:00:00+00:00,68693.51606000001,7.353320334630008,-153.51943411114226,-0.020491130239712024,Long,Closed,23
24,0,0.10379925470259935,2026-02-09 20:00:00+00:00,70774.07935500001,7.3462966893112025,2026-02-10 03:00:00+00:00,69477.074085,7.21166850894028,-149.18614556959605,-0.020307666825742556,Long,Closed,24
25,0,0.10610886299396746,2026-02-12 12:00:00+00:00,67899.242655,7.204711436273101,2026-02-12 16:00:00+00:00,65830.43831499999,6.985192959999161,-233.708380670657,-0.03243827080901615,Long,Closed,25
26,0,0.10404001797021857,2026-02-13 12:00:00+00:00,67117.542,6.982910275795803,2026-02-15 15:00:00+00:00,69065.44000500001,7.185569619241254,188.49086354931686,0.026993167047074225,Long,Closed,26
27,0,0.10647530354777568,2026-02-20 00:00:00+00:00,67262.524455,7.161797708735321,2026-02-22 08:00:00+00:00,67916.12495000001,7.231390019839912,55.199123375526774,0.0077074396150838,Long,Closed,27
28,0,0.10583628016329995,2026-02-22 10:00:00+00:00,68163.62478,7.214184489161198,2026-02-22 13:00:00+00:00,67618.55381000001,7.156496205272334,-72.05896458423445,-0.00998851147936244,Long,Closed,28
29,0,0.10838509862113167,2026-02-25 01:00:00+00:00,65929.69837499999,7.145796860435439,2026-02-26 20:00:00+00:00,67380.36296500001,7.303027285089175,142.78160050781122,0.01998120059896338,Long,Closed,29
30,0,0.10745907886267828,2026-02-27 05:00:00+00:00,67758.852495,7.281303873904108,2026-02-27 10:00:00+00:00,66571.607545,7.1537236251934235,-142.01527621046358,-0.019504099632406107,Long,Closed,30
31,0,0.1066755257109444,2026-02-28 20:00:00+00:00,66993.09980999999,7.146524141237023,2026-03-01 20:00:00+00:00,65267.350000000006,6.962428873010207,-198.20422124155726,-0.027734352718108292,Long,Closed,31
32,0,0.10401914816010954,2026-03-02 04:00:00+00:00,66895.55106,6.958418236961734,2026-03-02 09:00:00+00:00,66135.53569,6.879362085586323,-92.8939316985384,-0.013349863221083287,Long,Closed,32
33,0,0.10354638899348002,2026-03-02 10:00:00+00:00,66349.55819999998,6.8702571629219165,2026-03-02 12:00:00+00:00,65930.44828499999,6.826859844633127,-57.09443529716844,-0.008310378191560934,Long,Closed,33
34,0,0.10141356740332641,2026-03-02 14:00:00+00:00,67210.64852999999,6.8160716349175345,2026-03-03 10:00:00+00:00,66826.86985,6.777151269886297,-52.51358793694168,-0.007704377352479232,Long,Closed,34
35,0,0.09854292493364811,2026-03-03 18:00:00+00:00,68662.804245,6.766233564448157,2026-03-05 18:00:00+00:00,70955.154675,6.992128480793916,212.13655429986315,0.03135223640733782,Long,Closed,35
36,0,0.10269279300213796,2026-03-09 08:00:00+00:00,67848.597345,6.967561962635045,2026-03-11 08:00:00+00:00,69627.40888,7.150233087389062,168.55332970354542,0.024191149014165324,Long,Closed,36
37,0,0.10093648193176812,2026-03-11 14:00:00+00:00,70613.98934999999,7.127527660155465,2026-03-12 03:00:00+00:00,69411.88669500001,7.006191647239804,-135.46973222393103,-0.01900655299890615,Long,Closed,37
38,0,0.09932798305524035,2026-03-12 11:00:00+00:00,70463.123955,6.998959982221095,2026-03-12 14:00:00+00:00,69555.294955,6.908787158692485,-104.08057066996926,-0.014870862375888744,Long,Closed,38
39,0,0.09805567096899832,2026-03-12 15:00:00+00:00,70370.04744,6.900182217848851,2026-03-14 00:00:00+00:00,70596.65401500001,6.9224022776070555,8.397475262157037,0.0012169932614872672,Long,Closed,39
