Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
25,0,0.12829991562878929,2026-03-23 18:00:00+00:00,71111.75811,9.123632565726439,2026-03-25 07:00:00+00:00,70891.41656000001,9.095362763453357,-46.48879760369511,-0.0050954263303331845,Long,Closed,25
26,0,0.1267783573002804,2026-03-25 13:00:00+00:00,71617.21071,9.079512328240526,2026-03-26 11:00:00+00:00,69241.371995,8.778307398743738,-319.062749225094,-0.03514095666048588,Long,Closed,26
27,0,0.13137733250825373,2026-03-29 05:00:00+00:00,66805.32597,8.776705523281635,2026-03-30 00:00:00+00:00,66247.10987500001,8.703368581758696,-90.81701562931266,-0.0103475062924684,Long,Closed,27
28,0,0.1286984125660689,2026-03-30 05:00:00+00:00,67526.20623,8.690515548409167,2026-04-02 08:00:00+00:00,66405.90044,8.546333971648416,-161.41842628163474,-0.018574090959559666,Long,Closed,28
29,0,0.1275620014234276,2026-04-04 00:00:00+00:00,66926.83669499999,8.537321237752622,2026-04-07 15:00:00+00:00,68134.01595000002,8.69131143959774,136.76156916729425,0.016019260065149896,Long,Closed,29
30,0,0.1213871060914998,2026-04-08 02:00:00+00:00,71400.62247,8.667114934763958,2026-04-12 07:00:00+00:00,71629.16750000001,8.69485735456831,10.38044751396271,0.0011976819959229198,Long,Closed,30
31,0,0.11621297311581834,2026-04-13 22:00:00+00:00,74664.35351999999,8.676966508328405,2026-04-15 17:00:00+00:00,74097.88252500001,8.611135229816892,-83.119380250969,-0.009579313250912753,Long,Closed,31
32,0,0.11475484711242886,2026-04-16 03:00:00+00:00,74925.65410500001,8.598081981617725,2026-04-18 23:00:00+00:00,75653.91412,8.681653348297424,66.29163134950298,0.007710048763343855,Long,Closed,32
33,0,0.11397144144678718,2026-04-20 21:00:00+00:00,75992.687355,8.660996117263494,2026-04-23 21:00:00+00:00,77825.897585,8.869929729652483,191.40268654118069,0.022099384868635184,Long,Closed,33
34,0,0.113553618906317,2026-04-26 12:00:00+00:00,77871.99654,8.842647018576827,2026-04-27 19:00:00+00:00,76839.63096500002,8.725418171501648,-134.79691226562687,-0.015243954890706022,Long,Closed,34
35,0,0.11344065639829469,2026-04-29 13:00:00+00:00,76821.82171499998,8.714717881061006,2026-04-29 23:00:00+00:00,75742.11,8.592234675391841,-139.79015822697826,-0.01604069806215427,Long,Closed,35
36,0,0.11133812763744189,2026-05-01 04:00:00+00:00,77080.96122,8.582049898728656,2026-05-07 08:00:00+00:00,81190.62438000001,9.039612100184042,439.94053945606083,0.05126287363130019,Long,Closed,36
37,0,0.11186917708348221,2026-05-09 08:00:00+00:00,80447.32355999999,8.999575885225568,2026-05-12 14:00:00+00:00,80499.73000000001,9.005438550542507,-12.142349119090554,-0.001349213482273544,Long,Closed,37
38,0,0.11036774623749211,2026-05-14 21:00:00+00:00,81437.308305,8.98805217727022,2026-05-15 20:00:00+00:00,79083.55844,8.728274109463797,-277.49439409358604,-0.03087369639390002,Long,Closed,38
39,0,0.11258141429029365,2026-05-20 08:00:00+00:00,77496.76901999999,8.724695859198619,2026-05-22 03:00:00+00:00,77741.09001,8.75220186179482,10.029104874012628,0.0011495076775011443,Long,Closed,39
40,0,0.1136699245164686,2026-05-24 07:00:00+00:00,76838.389995,8.734213990697754,2026-05-26 11:00:00+00:00,77144.95822500001,8.769061578261873,17.344311994287008,0.0019857896787000614,Long,Closed,40
41,0,0.1190608304964851,2026-05-29 23:00:00+00:00,73497.51039,8.750674626457112,2026-06-01 01:00:00+00:00,73256.27354000001,8.721952766750087,-46.19448710056056,-0.005278962945427397,Long,Closed,41
42,0,0.13845328261664475,2026-06-07 08:00:00+00:00,62886.437505,8.706833704633027,2026-06-09 15:00:00+00:00,61101.27408,8.45967196843531,-264.328241871491,-0.030358710277286777,Long,Closed,42
43,0,0.13464198786709725,2026-06-11 06:00:00+00:00,62803.386000000006,8.455972735822797,2026-06-11 14:00:00+00:00,62735.2,0.0,-17.636671320529786,-0.0020857057929964886,Long,Open,43
